event,table,Date,Time,home_team,away_team,home_score,away_score,home_seed,away_seed
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/27,8:30 AM,Auburn (15),Oregon State (19),15,11,15,19
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/27,10:30 AM,North Carolina (3),Colorado (10),12,13,3,10
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/27,10:30 AM,Carleton College (6),Oregon State (19),15,8,6,19
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/27,2:30 PM,North Carolina (3),Auburn (15),15,10,3,15
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/27,2:30 PM,Carleton College (6),Colorado (10),15,8,6,10
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/26,8:30 AM,Oregon (5),British Columbia (16),15,10,5,16
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/26,8:30 AM,Wisconsin (9),Virginia Tech (20),15,10,9,20
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/26,12:30 PM,Minnesota (4),Virginia Tech (20),15,7,4,20
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/26,12:30 PM,Wisconsin (9),British Columbia (16),15,8,9,16
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/26,4:30 PM,Minnesota (4),Oregon (5),15,11,4,5
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/27,8:30 AM,Minnesota (4),Wisconsin (9),15,13,4,9
