Rank,Team,Power Rating,Competition Level,Gender Division,Competition Division,City,State,Wins,Losses,dataset_id,season
166,Grinnell ,1047,College,Men,Division III,Grinnell,IA,14,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
167,Occidental ,1046,College,Men,Division III,Los Angeles,CA,23,16,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
168,Colgate ,1041,College,Men,Division III,Hamilton,NY,15,5,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
169,Marquette ,1035,College,Men,Division I,Milwaukee,WI,9,14,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
170,Michigan B ,1035,College,Men,Developmental,Ann Arbor,MI,13,7,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
171,Denver ,1033,College,Men,Division I,Denver,CO,12,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
172,High Point ,1028,College,Men,Division III,High Point,NC,13,18,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
173,Merrimack ,1024,College,Men,Division III,North Andover,MA,7,5,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
174,Samford ,1020,College,Men,Division III,Birmingham,AL,10,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
175,Union (Tennessee) ,1019,College,Men,Division III,Jackson,TN,12,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
176,St Louis ,1018,College,Men,Division I,St. Louis,MO,9,12,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
177,Minnesota B ,1008,College,Men,Developmental,Minneapolis,MN,8,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
178,George Mason ,997,College,Men,Division I,Fairfax,VA,14,22,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
179,SUNY-Binghamton ,987,College,Men,Division I,Binghamton,NY,13,18,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
180,Olivet Nazarene ,982,College,Men,Division III,Bourbonnais,IL,17,16,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
181,Georgia State ,981,College,Men,Division I,Atlanta,GA,7,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
182,Massachusetts- Dartmouth ,977,College,Men,Division I,"North Dartmouth, MA",MA,2,8,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
183,Texas-Dallas ,976,College,Men,Division I,Richardson,TX,10,15,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
184,Wake Forest ,975,College,Men,Division I,Winston-Salem,NC,10,17,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
185,North Georgia ,968,College,Men,Division III,Dahlonega,GA,15,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
186,Kalamazoo ,966,College,Men,Division III,Kalamazoo,MI,6,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
187,Amherst ,964,College,Men,Division III,Amherst,MA,16,18,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
188,North Carolina B ,963,College,Men,Developmental,Chapel Hill,NC,10,0,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
189,Kansas State ,962,College,Men,Division I,Manhattan,KS,15,19,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
190,Boston University ,961,College,Men,Division I,Boston,MA,14,14,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
191,Colorado B ,954,College,Men,Division I,Boulder,CO,11,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
192,Wentworth Institute of Technology  ,952,College,Men,Division III,Boston,MA,14,12,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
193,Haverford ,949,College,Men,Division III,Haverford,PA,14,14,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
194,Grand Valley State ,945,College,Men,Division I,Allendale,MI,8,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
195,Cal Poly-Pomona ,944,College,Men,Division I,Pomona,CA,13,16,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
196,Truman State ,939,College,Men,Division III,Kirksville,MO,10,16,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
197,Rutgers ,929,College,Men,Division I,New Brunswick,NJ,11,17,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
198,Washington State ,927,College,Men,Division I,Pullman,WA,7,16,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
199,Minnesota State-Mankato ,926,College,Men,Division I,Mankato,MN,7,5,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
200,Missouri S&T ,921,College,Men,Division III,Rolla,MO,6,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
201,Wright State ,917,College,Men,Division I,Dayton,OH,11,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
